"aisle_id","aisle","_op","_ts_ms","load_ts"
120,yogurt,c,0,1970-01-01 01:00:00.000 +0100
108,other creams cheeses,c,0,1970-01-01 01:00:00.000 +0100
83,fresh vegetables,c,0,1970-01-01 01:00:00.000 +0100
95,canned meat seafood,c,0,1970-01-01 01:00:00.000 +0100
24,fresh fruits,c,0,1970-01-01 01:00:00.000 +0100
21,packaged cheese,c,0,1970-01-01 01:00:00.000 +0100
117,nuts seeds dried fruit,c,0,1970-01-01 01:00:00.000 +0100
123,packaged vegetables fruits,c,0,1970-01-01 01:00:00.000 +0100
19,oils vinegars,c,0,1970-01-01 01:00:00.000 +0100
116,frozen produce,c,0,1970-01-01 01:00:00.000 +0100
16,fresh herbs,c,0,1970-01-01 01:00:00.000 +0100
115,water seltzer sparkling water,c,0,1970-01-01 01:00:00.000 +0100
31,refrigerated,c,0,1970-01-01 01:00:00.000 +0100
71,refrigerated pudding desserts,c,0,1970-01-01 01:00:00.000 +0100
81,canned jarred vegetables,c,0,1970-01-01 01:00:00.000 +0100
91,soy lactosefree,c,0,1970-01-01 01:00:00.000 +0100
78,crackers,c,0,1970-01-01 01:00:00.000 +0100
106,hot dogs bacon sausage,c,0,1970-01-01 01:00:00.000 +0100
129,frozen appetizers sides,c,0,1970-01-01 01:00:00.000 +0100
36,butter,c,0,1970-01-01 01:00:00.000 +0100
67,fresh dips tapenades,c,0,1970-01-01 01:00:00.000 +0100
59,canned meals beans,c,0,1970-01-01 01:00:00.000 +0100
37,ice cream ice,c,0,1970-01-01 01:00:00.000 +0100
74,dish detergents,c,0,1970-01-01 01:00:00.000 +0100
84,milk,c,0,1970-01-01 01:00:00.000 +0100
99,canned fruit applesauce,c,0,1970-01-01 01:00:00.000 +0100
96,lunch meat,c,0,1970-01-01 01:00:00.000 +0100
2,specialty cheeses,c,0,1970-01-01 01:00:00.000 +0100
34,frozen meat seafood,c,0,1970-01-01 01:00:00.000 +0100
17,baking ingredients,c,0,1970-01-01 01:00:00.000 +0100
75,laundry,c,0,1970-01-01 01:00:00.000 +0100
69,soup broth bouillon,c,0,1970-01-01 01:00:00.000 +0100
72,condiments,c,0,1970-01-01 01:00:00.000 +0100
98,juice nectars,c,0,1970-01-01 01:00:00.000 +0100
128,tortillas flat bread,c,0,1970-01-01 01:00:00.000 +0100
25,soap,c,0,1970-01-01 01:00:00.000 +0100
111,plates bowls cups flatware,c,0,1970-01-01 01:00:00.000 +0100
85,food storage,c,0,1970-01-01 01:00:00.000 +0100
54,paper goods,c,0,1970-01-01 01:00:00.000 +0100
32,packaged produce,c,0,1970-01-01 01:00:00.000 +0100
45,candy chocolate,c,0,1970-01-01 01:00:00.000 +0100
48,breakfast bars pastries,c,0,1970-01-01 01:00:00.000 +0100
56,diapers wipes,c,0,1970-01-01 01:00:00.000 +0100
9,pasta sauce,c,0,1970-01-01 01:00:00.000 +0100
12,fresh pasta,c,0,1970-01-01 01:00:00.000 +0100
52,frozen breakfast,c,0,1970-01-01 01:00:00.000 +0100
114,cleaning products,c,0,1970-01-01 01:00:00.000 +0100
53,cream,c,0,1970-01-01 01:00:00.000 +0100
6,other,c,0,1970-01-01 01:00:00.000 +0100
107,chips pretzels,c,0,1970-01-01 01:00:00.000 +0100
66,asian foods,c,0,1970-01-01 01:00:00.000 +0100
86,eggs,c,0,1970-01-01 01:00:00.000 +0100
130,hot cereal pancake mixes,c,0,1970-01-01 01:00:00.000 +0100
112,bread,c,0,1970-01-01 01:00:00.000 +0100
79,frozen pizza,c,0,1970-01-01 01:00:00.000 +0100
105,doughs gelatins bake mixes,c,0,1970-01-01 01:00:00.000 +0100
20,oral hygiene,c,0,1970-01-01 01:00:00.000 +0100
121,cereal,c,0,1970-01-01 01:00:00.000 +0100
100,missing,c,0,1970-01-01 01:00:00.000 +0100
15,packaged seafood,c,0,1970-01-01 01:00:00.000 +0100
77,soft drinks,c,0,1970-01-01 01:00:00.000 +0100
64,energy sports drinks,c,0,1970-01-01 01:00:00.000 +0100
